date,account_id,type,amount,sum_3,mean_3,count_3,sum_15,mean_15,count_15,sum_30,mean_30,count_30
1997-10-05,1,WITHDRAWAL,2452.0,2452.0,2452.0,1.0,2452.0,2452.0,1.0,2452.0,2452.0,1.0
1997-10-31,1,WITHDRAWAL,14.6,14.6,14.6,1.0,14.6,14.6,1.0,2466.6,1233.3,2.0
1997-10-03,2,WITHDRAWAL,9800.0,9800.0,9800.0,1.0,9800.0,9800.0,1.0,9800.0,9800.0,1.0
1997-10-05,2,WITHDRAWAL,7266.0,17066.0,8533.0,2.0,17066.0,8533.0,2.0,17066.0,8533.0,2.0
1997-10-14,2,WITHDRAWAL,3800.0,3800.0,3800.0,1.0,20866.0,6955.333333333333,3.0,20866.0,6955.333333333333,3.0
1997-10-31,2,WITHDRAWAL,14.6,14.6,14.6,1.0,14.6,14.6,1.0,20880.6,5220.15,4.0
1997-10-05,3,WITHDRAWAL,6900.0,6900.0,6900.0,1.0,6900.0,6900.0,1.0,6900.0,6900.0,1.0
1997-10-06,4,WITHDRAWAL,2078.0,2078.0,2078.0,1.0,2078.0,2078.0,1.0,2078.0,2078.0,1.0
1997-10-13,4,WITHDRAWAL,1300.0,1300.0,1300.0,1.0,3378.0,1689.0,2.0,3378.0,1689.0,2.0
1997-10-13,4,WITHDRAWAL,1285.0,2585.0,1292.5,2.0,4663.0,1554.3333333333333,3.0,4663.0,1554.3333333333333,3.0
1997-10-31,4,WITHDRAWAL,14.6,14.6,14.6,1.0,14.6,14.6,1.0,4677.6,1169.4,4.0
1997-10-31,5,WITHDRAWAL,14.6,14.6,14.6,1.0,14.6,14.6,1.0,14.6,14.6,1.0
1997-10-12,6,WITHDRAWAL,3954.0,3954.0,3954.0,1.0,3954.0,3954.0,1.0,3954.0,3954.0,1.0
1997-10-31,6,WITHDRAWAL,14.6,14.6,14.6,1.0,14.6,14.6,1.0,3968.6,1984.3,2.0
1997-10-06,7,WITHDRAWAL,4880.0,4880.0,4880.0,1.0,4880.0,4880.0,1.0,4880.0,4880.0,1.0
1997-10-20,7,WITHDRAWAL,13600.0,13600.0,13600.0,1.0,18480.0,9240.0,2.0,18480.0,9240.0,2.0
1997-10-31,7,WITHDRAWAL,14.6,14.6,14.6,1.0,13614.6,6807.3,2.0,18494.6,6164.866666666666,3.0
1997-10-05,8,WITHDRAWAL,6712.0,6712.0,6712.0,1.0,6712.0,6712.0,1.0,6712.0,6712.0,1.0
1997-10-07,8,WITHDRAWAL,2612.0,9324.0,4662.0,2.0,9324.0,4662.0,2.0,9324.0,4662.0,2.0
1997-10-10,8,WITHDRAWAL,11900.0,11900.0,11900.0,1.0,21224.0,7074.666666666667,3.0,21224.0,7074.666666666667,3.0
1997-10-31,8,WITHDRAWAL,14.6,14.6,14.6,1.0,14.6,14.6,1.0,21238.6,5309.65,4.0
1997-10-03,9,WITHDRAWAL,100.0,100.0,100.0,1.0,100.0,100.0,1.0,100.0,100.0,1.0
1997-10-31,9,WITHDRAWAL,14.6,14.6,14.6,1.0,14.6,14.6,1.0,114.6,57.3,2.0
1997-10-12,10,WITHDRAWAL,7033.0,7033.0,7033.0,1.0,7033.0,7033.0,1.0,7033.0,7033.0,1.0
1997-10-22,10,WITHDRAWAL,9400.0,9400.0,9400.0,1.0,16433.0,8216.5,2.0,16433.0,8216.5,2.0
1997-10-31,10,WITHDRAWAL,14.6,14.6,14.6,1.0,9414.6,4707.3,2.0,16447.6,5482.533333333333,3.0
1997-10-13,11,WITHDRAWAL,2132.0,2132.0,2132.0,1.0,2132.0,2132.0,1.0,2132.0,2132.0,1.0
1997-10-31,11,WITHDRAWAL,14.6,14.6,14.6,1.0,14.6,14.6,1.0,2146.6,1073.3,2.0
1997-10-05,12,WITHDRAWAL,3295.0,3295.0,3295.0,1.0,3295.0,3295.0,1.0,3295.0,3295.0,1.0
1997-10-12,12,WITHDRAWAL,297.0,297.0,297.0,1.0,3592.0,1796.0,2.0,3592.0,1796.0,2.0
1997-10-18,12,WITHDRAWAL,480.0,480.0,480.0,1.0,4072.0,1357.3333333333333,3.0,4072.0,1357.3333333333333,3.0
1997-10-23,12,WITHDRAWAL,1200.0,1200.0,1200.0,1.0,1977.0,659.0,3.0,5272.0,1318.0,4.0
1997-10-31,12,WITHDRAWAL,14.6,14.6,14.6,1.0,1694.6,564.8666666666667,3.0,5286.6,1057.3200000000002,5.0
1997-10-06,14,WITHDRAWAL,3629.0,3629.0,3629.0,1.0,3629.0,3629.0,1.0,3629.0,3629.0,1.0
1997-10-23,14,WITHDRAWAL,13700.0,13700.0,13700.0,1.0,13700.0,13700.0,1.0,17329.0,8664.5,2.0
1997-10-31,14,WITHDRAWAL,14.6,14.6,14.6,1.0,13714.6,6857.3,2.0,17343.6,5781.2,3.0
1997-10-06,15,WITHDRAWAL,3072.0,3072.0,3072.0,1.0,3072.0,3072.0,1.0,3072.0,3072.0,1.0
1997-10-09,15,WITHDRAWAL,3240.0,3240.0,3240.0,1.0,6312.0,3156.0,2.0,6312.0,3156.0,2.0
1997-10-11,15,WITHDRAWAL,11000.0,14240.0,7120.0,2.0,17312.0,5770.666666666667,3.0,17312.0,5770.666666666667,3.0
