date,account_id,type,amount
1997-10-01,3571,WITHDRAWAL,1300.0
1997-10-01,2370,CREDIT,300.0
1997-10-01,7733,WITHDRAWAL,14200.0
1997-10-01,7753,WITHDRAWAL,12600.0
1997-10-01,7721,WITHDRAWAL,18000.0
1997-10-01,3136,WITHDRAWAL,4100.0
1997-10-01,3278,WITHDRAWAL,3120.0
1997-10-01,3635,WITHDRAWAL,5800.0
1997-10-01,3638,WITHDRAWAL,9900.0
1997-10-01,5891,WITHDRAWAL,7400.0
1997-10-01,5837,WITHDRAWAL,24637.0
1997-10-01,5991,WITHDRAWAL,2760.0
1997-10-01,5991,WITHDRAWAL,9700.0
1997-10-01,150,WITHDRAWAL,1700.0
1997-10-01,171,WITHDRAWAL,6300.0
1997-10-01,75,WITHDRAWAL,15000.0
1997-10-01,103,CREDIT,23300.0
1997-10-01,119,WITHDRAWAL,7400.0
1997-10-01,144,WITHDRAWAL,16688.0
1997-10-01,129,CREDIT,600.0
1997-10-01,3053,WITHDRAWAL,8400.0
1997-10-01,1896,CREDIT,27923.0
1997-10-01,1528,WITHDRAWAL,1200.0
1997-10-01,3794,WITHDRAWAL,15600.0
1997-10-01,3790,WITHDRAWAL,5100.0
1997-10-01,3781,WITHDRAWAL,17200.0
1997-10-01,4014,CREDIT,500.0
1997-10-01,7033,WITHDRAWAL,1900.0
1997-10-01,7082,WITHDRAWAL,1600.0
1997-10-01,1034,WITHDRAWAL,800.0
1997-10-01,1020,WITHDRAWAL,1700.0
1997-10-01,1134,WITHDRAWAL,2900.0
1997-10-01,814,WITHDRAWAL,3800.0
1997-10-01,810,WITHDRAWAL,600.0
1997-10-01,3628,WITHDRAWAL,10900.0
1997-10-01,3614,WITHDRAWAL,11700.0
1997-10-01,3626,WITHDRAWAL,6900.0
1997-10-01,3615,WITHDRAWAL,3100.0
1997-10-01,4088,CREDIT,41086.0
1997-10-01,10630,CREDIT,1700.0
1997-10-01,10728,WITHDRAWAL,13943.0
1997-10-01,10711,WITHDRAWAL,17200.0
1997-10-01,477,WITHDRAWAL,10400.0
1997-10-01,472,WITHDRAWAL,9130.0
1997-10-01,586,WITHDRAWAL,1900.0
1997-10-01,595,CREDIT,20662.0
1997-10-01,615,WITHDRAWAL,400.0
1997-10-01,1154,CREDIT,42875.0
1997-10-01,1154,WITHDRAWAL,30400.0
1997-10-01,444,CREDIT,2600.0
1997-10-01,2050,WITHDRAWAL,3700.0
1997-10-01,2044,WITHDRAWAL,2100.0
1997-10-01,2055,WITHDRAWAL,4500.0
1997-10-01,1935,WITHDRAWAL,4999.0
1997-10-01,4585,WITHDRAWAL,8500.0
1997-10-01,6897,WITHDRAWAL,5400.0
1997-10-01,6872,WITHDRAWAL,17067.0
1997-10-01,1324,WITHDRAWAL,11900.0
1997-10-01,1809,WITHDRAWAL,3107.0
1997-10-01,1811,WITHDRAWAL,7200.0
1997-10-01,2664,WITHDRAWAL,6500.0
1997-10-01,1178,WITHDRAWAL,21400.0
1997-10-01,4195,WITHDRAWAL,61800.0
1997-10-01,4195,CREDIT,40378.0
1997-10-01,2950,WITHDRAWAL,960.0
1997-10-01,2940,CREDIT,6300.0
1997-10-01,2933,CREDIT,8347.0
1997-10-01,3294,WITHDRAWAL,500.0
1997-10-01,3296,WITHDRAWAL,3300.0
1997-10-01,2816,WITHDRAWAL,16900.0
1997-10-01,2810,WITHDRAWAL,1500.0
1997-10-01,3927,CREDIT,2500.0
1997-10-01,9549,WITHDRAWAL,10800.0
1997-10-01,431,WITHDRAWAL,12400.0
1997-10-01,498,WITHDRAWAL,17800.0
1997-10-01,517,WITHDRAWAL,5100.0
1997-10-01,506,WITHDRAWAL,9200.0
1997-10-01,3242,WITHDRAWAL,1400.0
1997-10-01,2178,WITHDRAWAL,13100.0
1997-10-01,2536,WITHDRAWAL,2880.0
1997-10-01,1758,WITHDRAWAL,9700.0
1997-10-01,1837,WITHDRAWAL,16300.0
1997-10-01,1855,WITHDRAWAL,2000.0
1997-10-01,10439,WITHDRAWAL,13500.0
1997-10-01,10411,WITHDRAWAL,11400.0
1997-10-01,1218,WITHDRAWAL,13009.0
1997-10-01,1219,WITHDRAWAL,2500.0
1997-10-01,2550,WITHDRAWAL,5700.0
1997-10-01,1082,WITHDRAWAL,5500.0
1997-10-01,3965,WITHDRAWAL,1500.0
1997-10-01,3950,WITHDRAWAL,1600.0
1997-10-01,3230,CREDIT,16839.0
1997-10-01,3839,WITHDRAWAL,11100.0
1997-10-01,3840,WITHDRAWAL,3900.0
1997-10-01,2564,WITHDRAWAL,21200.0
1997-10-01,2689,WITHDRAWAL,4200.0
1997-10-01,2696,WITHDRAWAL,2800.0
1997-10-01,4354,WITHDRAWAL,3800.0
1997-10-01,2328,WITHDRAWAL,2100.0
1997-10-01,2608,WITHDRAWAL,3000.0
1997-10-01,2605,WITHDRAWAL,6600.0
1997-10-01,2840,CREDIT,12971.0
1997-10-01,2487,WITHDRAWAL,2400.0
1997-10-01,2424,WITHDRAWAL,15800.0
1997-10-01,2424,CREDIT,10826.0
1997-10-01,2762,CREDIT,19754.0
1997-10-01,1922,WITHDRAWAL,6700.0
1997-10-01,3104,WITHDRAWAL,480.0
1997-10-01,3098,WITHDRAWAL,3120.0
1997-10-01,3381,WITHDRAWAL,8300.0
1997-10-01,1441,WITHDRAWAL,2320.0
1997-10-01,1440,CREDIT,1900.0
1997-10-01,1910,WITHDRAWAL,10800.0
1997-10-01,1304,CREDIT,41361.0
1997-10-01,1304,WITHDRAWAL,29100.0
1997-10-01,1309,WITHDRAWAL,28700.0
1997-10-01,1322,WITHDRAWAL,800.0
1997-10-01,1313,CREDIT,200.0
1997-10-01,3717,WITHDRAWAL,3500.0
1997-10-01,719,WITHDRAWAL,600.0
1997-10-01,722,WITHDRAWAL,11100.0
1997-10-01,725,CREDIT,100.0
1997-10-01,725,WITHDRAWAL,690.0
1997-10-01,1274,WITHDRAWAL,17699.0
1997-10-01,1272,WITHDRAWAL,2100.0
1997-10-01,544,WITHDRAWAL,2900.0
1997-10-01,3399,WITHDRAWAL,2760.0
1997-10-01,3407,WITHDRAWAL,6000.0
1997-10-01,3403,CREDIT,8701.0
1997-10-01,3402,CREDIT,17600.0
1997-10-01,8919,CREDIT,1700.0
1997-10-01,10063,WITHDRAWAL,8700.0
1997-10-01,3364,CREDIT,48536.0
1997-10-01,3728,WITHDRAWAL,16100.0
1997-10-01,7445,CREDIT,39924.0
1997-10-01,7203,CREDIT,2600.0
1997-10-01,252,WITHDRAWAL,3520.0
1997-10-01,272,WITHDRAWAL,3300.0
1997-10-01,264,CREDIT,3400.0
1997-10-01,381,WITHDRAWAL,4680.0
1997-10-01,211,CREDIT,13916.0
1997-10-01,219,WITHDRAWAL,1560.0
1997-10-01,3117,WITHDRAWAL,200.0
1997-10-01,3118,WITHDRAWAL,4700.0
1997-10-01,1786,WITHDRAWAL,3700.0
1997-10-01,1591,WITHDRAWAL,8600.0
1997-10-01,2617,WITHDRAWAL,1470.0
1997-10-01,2623,WITHDRAWAL,3600.0
1997-10-01,2986,WITHDRAWAL,17400.0
1997-10-01,2115,WITHDRAWAL,1000.0
1997-10-01,2117,WITHDRAWAL,2100.0
1997-10-01,6463,CREDIT,47484.0
1997-10-01,6463,WITHDRAWAL,10496.0
1997-10-01,7894,WITHDRAWAL,14300.0
1997-10-01,10152,CREDIT,42590.0
1997-10-01,10202,CREDIT,10600.0
1997-10-01,3085,WITHDRAWAL,9500.0
1997-10-01,3546,WITHDRAWAL,16900.0
1997-10-01,39,WITHDRAWAL,1800.0
1997-10-01,47,WITHDRAWAL,8963.0
1997-10-01,41,WITHDRAWAL,8000.0
1997-10-01,24,WITHDRAWAL,4000.0
1997-10-01,34,WITHDRAWAL,14159.0
1997-10-01,1627,WITHDRAWAL,6300.0
1997-10-01,2084,WITHDRAWAL,1600.0
1997-10-01,2089,WITHDRAWAL,31300.0
1997-10-01,1513,WITHDRAWAL,5000.0
1997-10-01,1512,WITHDRAWAL,2280.0
1997-10-01,1522,CREDIT,6500.0
1997-10-01,1519,WITHDRAWAL,15000.0
1997-10-01,1558,CREDIT,2000.0
1997-10-01,3700,WITHDRAWAL,16600.0
1997-10-01,3895,WITHDRAWAL,8400.0
1997-10-01,3896,WITHDRAWAL,3900.0
1997-10-01,3905,WITHDRAWAL,13197.0
1997-10-01,3904,WITHDRAWAL,1380.0
1997-10-01,5794,WITHDRAWAL,1900.0
1997-10-01,1050,WITHDRAWAL,8300.0
1997-10-01,1045,WITHDRAWAL,5500.0
1997-10-01,768,WITHDRAWAL,5800.0
1997-10-01,3988,WITHDRAWAL,2800.0
1997-10-01,4803,CREDIT,2100.0
1997-10-01,9377,WITHDRAWAL,7200.0
1997-10-01,9333,WITHDRAWAL,16184.0
1997-10-01,1379,CREDIT,700.0
1997-10-01,1366,CREDIT,3300.0
1997-10-01,984,WITHDRAWAL,2700.0
